transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes
mqtt_mosquitto,16384,1000,latency_20251130_065124_mosquitto_p16384_n10_r100,1000.30,1.022,1.410,1.627,1000.02,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_065124_mosquitto_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,32768,1000,latency_20251130_065211_mosquitto_p32768_n10_r100,1000.31,2.503,4.164,4.239,999.97,30001,28998,0,/home/cc/mq-bench/artifacts/latency_20251130_065211_mosquitto_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,65536,1000,latency_20251130_065257_mosquitto_p65536_n10_r100,1000.17,3.258,4.653,5.169,1000.01,30001,28994,0,/home/cc/mq-bench/artifacts/latency_20251130_065257_mosquitto_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,131072,1000,latency_20251130_065343_mosquitto_p131072_n10_r100,1000.30,2.198,2.882,3.101,1000.00,30001,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_065343_mosquitto_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,262144,1000,latency_20251130_065429_mosquitto_p262144_n10_r100,1000.06,2.963,3.836,4.399,997.75,29933,28990,0,/home/cc/mq-bench/artifacts/latency_20251130_065429_mosquitto_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,524288,1000,latency_20251130_065515_mosquitto_p524288_n10_r100,915.44,1247.805,2663.383,3055.550,999.52,29985,26486,0,/home/cc/mq-bench/artifacts/latency_20251130_065515_mosquitto_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,1048576,1000,latency_20251130_065606_mosquitto_p1048576_n10_r100,479.76,3527.410,8300.528,8891.924,656.42,19692,13904,0,/home/cc/mq-bench/artifacts/latency_20251130_065606_mosquitto_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_mosquitto,2097152,1000,latency_20251130_065657_mosquitto_p2097152_n10_r100,0.00,0.000,0.000,0.000,321.01,9629,0,0,/home/cc/mq-bench/artifacts/latency_20251130_065657_mosquitto_p2097152_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,1024,1000,latency_20251130_065822_emqx_p1024_n10_r100,1000.29,9.945,11.690,12.370,1000.06,30003,28996,0,/home/cc/mq-bench/artifacts/latency_20251130_065822_emqx_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,2048,1000,latency_20251130_065908_emqx_p2048_n10_r100,1000.50,1.838,2.427,2.587,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_065908_emqx_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,4096,1000,latency_20251130_065954_emqx_p4096_n10_r100,1000.44,1.909,2.546,2.879,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_065954_emqx_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,8192,1000,latency_20251130_070040_emqx_p8192_n10_r100,1000.56,2.013,2.761,3.269,1000.00,30001,28998,0,/home/cc/mq-bench/artifacts/latency_20251130_070040_emqx_p8192_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,16384,1000,latency_20251130_070126_emqx_p16384_n10_r100,1000.63,2.292,3.365,3.985,1000.03,30001,28998,0,/home/cc/mq-bench/artifacts/latency_20251130_070126_emqx_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,32768,1000,latency_20251130_070212_emqx_p32768_n10_r100,1000.68,2.953,4.547,5.407,1000.03,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_070212_emqx_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,65536,1000,latency_20251130_070258_emqx_p65536_n10_r100,1000.66,4.030,6.500,7.672,1000.00,30001,28996,0,/home/cc/mq-bench/artifacts/latency_20251130_070258_emqx_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,131072,1000,latency_20251130_070344_emqx_p131072_n10_r100,1000.97,2.296,3.795,5.325,1000.02,30001,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_070344_emqx_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,262144,1000,latency_20251130_070430_emqx_p262144_n10_r100,1001.05,3.275,4.024,6.091,998.00,29940,28993,0,/home/cc/mq-bench/artifacts/latency_20251130_070430_emqx_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,524288,1000,latency_20251130_070517_emqx_p524288_n10_r100,928.44,1130.365,2004.877,2090.861,999.05,29971,26864,0,/home/cc/mq-bench/artifacts/latency_20251130_070517_emqx_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,1048576,1000,latency_20251130_070608_emqx_p1048576_n10_r100,0.00,0.000,0.000,0.000,581.03,17430,0,0,/home/cc/mq-bench/artifacts/latency_20251130_070608_emqx_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_emqx,2097152,1000,latency_20251130_070654_emqx_p2097152_n10_r100,0.00,0.000,0.000,0.000,312.27,9367,0,0,/home/cc/mq-bench/artifacts/latency_20251130_070654_emqx_p2097152_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,1024,1000,latency_20251130_070835_hivemq_p1024_n10_r100,1002.24,2.329,12.960,15.286,1000.05,30003,28998,0,/home/cc/mq-bench/artifacts/latency_20251130_070835_hivemq_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,2048,1000,latency_20251130_070921_hivemq_p2048_n10_r100,1003.00,2.349,4.047,10.699,1000.01,30002,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_070921_hivemq_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,4096,1000,latency_20251130_071007_hivemq_p4096_n10_r100,1002.94,2.558,8.311,16.892,999.99,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_071007_hivemq_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,8192,1000,latency_20251130_071054_hivemq_p8192_n10_r100,1001.85,3.236,13.042,24.003,999.99,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_071054_hivemq_p8192_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,16384,1000,latency_20251130_071140_hivemq_p16384_n10_r100,1002.52,3.633,19.513,34.308,1000.01,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_071140_hivemq_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,32768,1000,latency_20251130_071226_hivemq_p32768_n10_r100,1002.25,4.053,38.404,65.831,1000.00,30001,28990,0,/home/cc/mq-bench/artifacts/latency_20251130_071226_hivemq_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,65536,1000,latency_20251130_071312_hivemq_p65536_n10_r100,1000.96,10.371,507.773,669.516,1000.01,30001,28978,0,/home/cc/mq-bench/artifacts/latency_20251130_071312_hivemq_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,131072,1000,latency_20251130_071358_hivemq_p131072_n10_r100,32.94,926.941,1870.660,2057.306,1000.03,30001,950,0,/home/cc/mq-bench/artifacts/latency_20251130_071358_hivemq_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,262144,1000,latency_20251130_071449_hivemq_p262144_n10_r100,0.00,0.000,0.000,0.000,999.82,29994,0,0,/home/cc/mq-bench/artifacts/latency_20251130_071449_hivemq_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,524288,1000,latency_20251130_071540_hivemq_p524288_n10_r100,0.00,0.000,0.000,0.000,999.24,29977,0,0,/home/cc/mq-bench/artifacts/latency_20251130_071540_hivemq_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,1048576,1000,latency_20251130_071631_hivemq_p1048576_n10_r100,0.00,0.000,0.000,0.000,553.36,16600,0,0,/home/cc/mq-bench/artifacts/latency_20251130_071631_hivemq_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_hivemq,2097152,1000,latency_20251130_071722_hivemq_p2097152_n10_r100,0.00,0.000,0.000,0.000,263.00,7889,0,0,/home/cc/mq-bench/artifacts/latency_20251130_071722_hivemq_p2097152_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,1024,1000,latency_20251130_071848_rabbitmq_p1024_n10_r100,1000.21,9.527,13.197,13.378,1000.01,30001,28992,0,/home/cc/mq-bench/artifacts/latency_20251130_071848_rabbitmq_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,2048,1000,latency_20251130_071934_rabbitmq_p2048_n10_r100,1000.56,1.908,2.394,2.501,1000.03,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_071934_rabbitmq_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,4096,1000,latency_20251130_072020_rabbitmq_p4096_n10_r100,1000.47,1.978,2.468,2.599,1000.03,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072020_rabbitmq_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,8192,1000,latency_20251130_072106_rabbitmq_p8192_n10_r100,1000.42,1.736,2.181,2.298,1000.02,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072106_rabbitmq_p8192_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,16384,1000,latency_20251130_072152_rabbitmq_p16384_n10_r100,1000.47,1.999,2.374,2.554,999.99,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072152_rabbitmq_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,32768,1000,latency_20251130_072238_rabbitmq_p32768_n10_r100,1000.59,2.070,2.288,2.556,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072238_rabbitmq_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,65536,1000,latency_20251130_072324_rabbitmq_p65536_n10_r100,1000.53,2.028,2.994,3.252,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072324_rabbitmq_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,131072,1000,latency_20251130_072411_rabbitmq_p131072_n10_r100,1000.80,2.251,3.813,4.415,1000.00,30001,29000,0,/home/cc/mq-bench/artifacts/latency_20251130_072411_rabbitmq_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,262144,1000,latency_20251130_072457_rabbitmq_p262144_n10_r100,998.51,3.119,3.901,7.594,997.42,29923,28925,0,/home/cc/mq-bench/artifacts/latency_20251130_072457_rabbitmq_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,524288,1000,latency_20251130_072543_rabbitmq_p524288_n10_r100,710.03,3770.679,8115.978,8615.100,998.55,29956,20533,0,/home/cc/mq-bench/artifacts/latency_20251130_072543_rabbitmq_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,1048576,1000,latency_20251130_072634_rabbitmq_p1048576_n10_r100,277.01,8078.230,15309.210,16206.791,621.40,18641,8006,0,/home/cc/mq-bench/artifacts/latency_20251130_072634_rabbitmq_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_rabbitmq,2097152,1000,latency_20251130_072725_rabbitmq_p2097152_n10_r100,0.00,0.000,0.000,0.000,324.41,9731,0,0,/home/cc/mq-bench/artifacts/latency_20251130_072725_rabbitmq_p2097152_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,1024,1000,latency_20251130_072906_artemis_p1024_n10_r100,1001.56,5.239,14.475,24.232,1000.06,30003,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_072906_artemis_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,2048,1000,latency_20251130_072952_artemis_p2048_n10_r100,1001.26,1.646,2.574,6.095,1000.03,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_072952_artemis_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,4096,1000,latency_20251130_073038_artemis_p4096_n10_r100,1000.66,1.733,2.499,3.883,1000.03,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073038_artemis_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,8192,1000,latency_20251130_073124_artemis_p8192_n10_r100,1000.62,1.700,2.427,3.574,1000.01,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073124_artemis_p8192_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,16384,1000,latency_20251130_073210_artemis_p16384_n10_r100,1000.45,1.935,2.738,4.514,1000.02,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073210_artemis_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,32768,1000,latency_20251130_073257_artemis_p32768_n10_r100,1000.39,1.929,2.896,7.451,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073257_artemis_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,65536,1000,latency_20251130_073343_artemis_p65536_n10_r100,1000.67,2.632,4.028,11.616,1000.02,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073343_artemis_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,131072,1000,latency_20251130_073429_artemis_p131072_n10_r100,1000.25,2.006,2.478,5.734,1000.02,30001,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_073429_artemis_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,262144,1000,latency_20251130_073515_artemis_p262144_n10_r100,999.83,2.976,38.142,367.788,998.89,29968,28915,0,/home/cc/mq-bench/artifacts/latency_20251130_073515_artemis_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,524288,1000,latency_20251130_073601_artemis_p524288_n10_r100,2.85,647.496,5570.036,9529.459,999.27,29977,82,0,/home/cc/mq-bench/artifacts/latency_20251130_073601_artemis_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,1048576,1000,latency_20251130_073652_artemis_p1048576_n10_r100,0.00,0.000,0.000,0.000,548.24,16446,0,0,/home/cc/mq-bench/artifacts/latency_20251130_073652_artemis_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,2097152,1000,latency_20251130_073743_artemis_p2097152_n10_r100,0.00,0.000,0.000,0.000,265.43,7962,0,0,/home/cc/mq-bench/artifacts/latency_20251130_073743_artemis_p2097152_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,1024,1000,latency_20251130_073909_zenoh-mqtt_p1024_n10_r100,1000.26,1.328,2.626,3.187,1000.06,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_073909_zenoh-mqtt_p1024_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,2048,1000,latency_20251130_073955_zenoh-mqtt_p2048_n10_r100,1000.04,1.595,3.363,3.555,1000.09,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_073955_zenoh-mqtt_p2048_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,4096,1000,latency_20251130_074041_zenoh-mqtt_p4096_n10_r100,1000.14,2.204,2.847,2.943,1000.09,30001,28996,0,/home/cc/mq-bench/artifacts/latency_20251130_074041_zenoh-mqtt_p4096_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,8192,1000,latency_20251130_074127_zenoh-mqtt_p8192_n10_r100,1000.13,1.793,2.669,3.373,1000.12,30001,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_074127_zenoh-mqtt_p8192_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,16384,1000,latency_20251130_074213_zenoh-mqtt_p16384_n10_r100,1000.21,2.124,3.115,3.375,1000.08,30001,29000,0,/home/cc/mq-bench/artifacts/latency_20251130_074213_zenoh-mqtt_p16384_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,32768,1000,latency_20251130_074259_zenoh-mqtt_p32768_n10_r100,999.28,3.639,4.239,4.600,1000.09,30001,28969,0,/home/cc/mq-bench/artifacts/latency_20251130_074259_zenoh-mqtt_p32768_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,65536,1000,latency_20251130_074345_zenoh-mqtt_p65536_n10_r100,1000.12,4.188,4.854,5.378,1000.10,30001,28993,0,/home/cc/mq-bench/artifacts/latency_20251130_074345_zenoh-mqtt_p65536_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,131072,1000,latency_20251130_074432_zenoh-mqtt_p131072_n10_r100,999.95,2.150,5.259,6.382,1000.11,30001,28984,0,/home/cc/mq-bench/artifacts/latency_20251130_074432_zenoh-mqtt_p131072_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,262144,1000,latency_20251130_074518_zenoh-mqtt_p262144_n10_r100,785.16,76.481,91.488,95.224,1000.15,30001,22740,0,/home/cc/mq-bench/artifacts/latency_20251130_074518_zenoh-mqtt_p262144_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,524288,1000,latency_20251130_074604_zenoh-mqtt_p524288_n10_r100,405.79,88.015,94.700,98.107,514.86,15444,11756,0,/home/cc/mq-bench/artifacts/latency_20251130_074604_zenoh-mqtt_p524288_n10_r100/fanout_multi_topic_perkey,,,
zenoh-mqtt,1048576,1000,latency_20251130_074650_zenoh-mqtt_p1048576_n10_r100,213.20,90.833,96.076,98.894,252.17,7564,6173,0,/home/cc/mq-bench/artifacts/latency_20251130_074650_zenoh-mqtt_p1048576_n10_r100/fanout_multi_topic_perkey,,,
