transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes
redis,1024,1000,scale_20251205_030004_redis_p1024_n100_r10,1001.78,0.242,0.466,1.485,930.47,32567,31559,0,/home/cc/mq-bench/artifacts/scale_20251205_030004_redis_p1024_n100_r10/fanout_multi_topic_perkey,12.060000,1.610000,16242442
redis,1024,10000,scale_20251205_030056_redis_p1024_n1000_r10,10007.85,0.462,1.097,2.511,9104.54,336874,316791,0,/home/cc/mq-bench/artifacts/scale_20251205_030056_redis_p1024_n1000_r10/fanout_multi_topic_perkey,56.190000,3.350000,33701233
redis,1024,20000,scale_20251205_030149_redis_p1024_n2000_r10,20257.78,0.736,2.427,18.743,17735.19,691677,651523,0,/home/cc/mq-bench/artifacts/scale_20251205_030149_redis_p1024_n2000_r10/fanout_multi_topic_perkey,76.650000,5.210000,52449772
redis,1024,30000,scale_20251205_030246_redis_p1024_n3000_r10,28485.42,0.883,116.589,121.635,19729.78,3215947,2383058,0,/home/cc/mq-bench/artifacts/scale_20251205_030246_redis_p1024_n3000_r10/fanout_multi_topic_perkey,53.330000,4.230000,42582671
redis,1024,40000,scale_20251205_030547_redis_p1024_n4000_r10,25214.84,123.404,146.145,153.092,25657.92,9570426,8115028,0,/home/cc/mq-bench/artifacts/scale_20251205_030547_redis_p1024_n4000_r10/fanout_multi_topic_perkey,78.950000,5.900000,59391345
redis,1024,50000,scale_20251205_031216_redis_p1024_n5000_r10,27297.32,155.189,178.651,182.321,25548.44,22789206,13495255,0,/home/cc/mq-bench/artifacts/scale_20251205_031216_redis_p1024_n5000_r10/fanout_multi_topic_perkey,30.590000,2.950000,29674701
nats,1024,100,scale_20251205_032728_nats_p1024_n10_r10,100.98,0.260,0.313,0.653,93.23,3263,3162,0,/home/cc/mq-bench/artifacts/scale_20251205_032728_nats_p1024_n10_r10/fanout_multi_topic_perkey,2.220000,1.750000,17647534
nats,1024,1000,scale_20251205_032820_nats_p1024_n100_r10,1000.68,0.259,0.527,0.716,928.25,32488,31480,0,/home/cc/mq-bench/artifacts/scale_20251205_032820_nats_p1024_n100_r10/fanout_multi_topic_perkey,19.680000,3.140000,31583109
nats,1024,1000,scale_20251205_032912_nats_p1024_n100_r10,1001.97,0.240,0.433,0.647,928.28,32489,31481,0,/home/cc/mq-bench/artifacts/scale_20251205_032912_nats_p1024_n100_r10/fanout_multi_topic_perkey,15.980000,3.140000,31625052
nats,1024,10000,scale_20251205_033005_nats_p1024_n1000_r10,10182.09,0.389,1.041,6.283,8967.99,340771,320692,0,/home/cc/mq-bench/artifacts/scale_20251205_033005_nats_p1024_n1000_r10/fanout_multi_topic_perkey,52.320000,14.680000,147849216
nats,1024,20000,scale_20251205_033059_nats_p1024_n2000_r10,21675.40,0.848,29.622,65.012,17288.60,726121,685978,0,/home/cc/mq-bench/artifacts/scale_20251205_033059_nats_p1024_n2000_r10/fanout_multi_topic_perkey,97.540000,26.770000,269588890
nats,1024,30000,scale_20251205_033159_nats_p1024_n3000_r10,10617.17,0.414,1.378,11.182,7991.30,79903,79839,0,/home/cc/mq-bench/artifacts/scale_20251205_033159_nats_p1024_n3000_r10/fanout_multi_topic_perkey,62.710000,26.270000,264660582
nats,1024,40000,scale_20251205_033226_nats_p1024_n4000_r10,0.00,0.000,0.000,0.000,0.00,0,0,0,/home/cc/mq-bench/artifacts/scale_20251205_033226_nats_p1024_n4000_r10/fanout_multi_topic_perkey,1.390000,17.260000,173853901
nats,1024,50000,scale_20251205_033247_nats_p1024_n5000_r10,6761.60,0.320,0.803,5.706,5900.59,59000,58948,0,/home/cc/mq-bench/artifacts/scale_20251205_033247_nats_p1024_n5000_r10/fanout_multi_topic_perkey,51.700000,17.370000,175007334
mqtt_mosquitto,1024,100,scale_20251205_033317_mosquitto_p1024_n10_r10,100.98,0.261,0.317,1.065,93.28,3265,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_033317_mosquitto_p1024_n10_r10/fanout_multi_topic_perkey,2.230000,0.510000,5135925
mqtt_mosquitto,1024,1000,scale_20251205_033408_mosquitto_p1024_n100_r10,1002.13,0.229,0.437,1.025,931.25,32595,31589,0,/home/cc/mq-bench/artifacts/scale_20251205_033408_mosquitto_p1024_n100_r10/fanout_multi_topic_perkey,12.890000,0.580000,5829034
mqtt_mosquitto,1024,1000,scale_20251205_033500_mosquitto_p1024_n100_r10,1002.82,0.242,0.468,1.048,931.07,32588,31580,0,/home/cc/mq-bench/artifacts/scale_20251205_033500_mosquitto_p1024_n100_r10/fanout_multi_topic_perkey,12.760000,0.580000,5840568
mqtt_mosquitto,1024,10000,scale_20251205_033551_mosquitto_p1024_n1000_r10,10134.24,0.462,1.157,9.970,9197.87,331131,321082,0,/home/cc/mq-bench/artifacts/scale_20251205_033551_mosquitto_p1024_n1000_r10/fanout_multi_topic_perkey,61.080000,1.270000,12771656
mqtt_mosquitto,1024,20000,scale_20251205_033644_mosquitto_p1024_n2000_r10,25966.16,629.146,1962.934,2986.344,18191.76,673111,617745,0,/home/cc/mq-bench/artifacts/scale_20251205_033644_mosquitto_p1024_n2000_r10/fanout_multi_topic_perkey,97.170000,7.660000,77175194
mqtt_mosquitto,1024,30000,scale_20251205_033737_mosquitto_p1024_n3000_r10,25545.97,78.250,9521.070,22095.593,26965.67,1024712,621406,0,/home/cc/mq-bench/artifacts/scale_20251205_033737_mosquitto_p1024_n3000_r10/fanout_multi_topic_perkey,95.600000,7.400000,74522296
mqtt_mosquitto,1024,40000,scale_20251205_033832_mosquitto_p1024_n4000_r10,17049.68,30.900,1888.485,15527.313,35394.70,1380443,550993,0,/home/cc/mq-bench/artifacts/scale_20251205_033832_mosquitto_p1024_n4000_r10/fanout_multi_topic_perkey,95.420000,5.230000,52680458
mqtt_mosquitto,1024,50000,scale_20251205_033928_mosquitto_p1024_n5000_r10,14858.32,1.256,10192.159,24008.196,43581.46,1743301,436295,0,/home/cc/mq-bench/artifacts/scale_20251205_033928_mosquitto_p1024_n5000_r10/fanout_multi_topic_perkey,97.470000,2.470000,24861737
mqtt_emqx,1024,100,scale_20251205_034033_emqx_p1024_n10_r10,100.98,0.387,0.544,1.681,93.28,3265,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_034033_emqx_p1024_n10_r10/fanout_multi_topic_perkey,4.290000,26.190000,263821722
mqtt_emqx,1024,1000,scale_20251205_034124_emqx_p1024_n100_r10,1003.52,0.357,0.771,2.154,931.20,32593,31586,0,/home/cc/mq-bench/artifacts/scale_20251205_034124_emqx_p1024_n100_r10/fanout_multi_topic_perkey,27.530000,24.350000,245261926
mqtt_emqx,1024,1000,scale_20251205_034215_emqx_p1024_n100_r10,1003.09,0.383,0.777,2.126,931.08,32589,31582,0,/home/cc/mq-bench/artifacts/scale_20251205_034215_emqx_p1024_n100_r10/fanout_multi_topic_perkey,27.880000,24.360000,245366784
mqtt_emqx,1024,10000,scale_20251205_034307_emqx_p1024_n1000_r10,10412.86,0.782,14.303,84.607,9192.08,330922,320850,0,/home/cc/mq-bench/artifacts/scale_20251205_034307_emqx_p1024_n1000_r10/fanout_multi_topic_perkey,80.290000,34.260000,345086362
mqtt_emqx,1024,20000,scale_20251205_034359_emqx_p1024_n2000_r10,11921.49,762.315,4353.688,6102.712,18146.75,671432,158264,0,/home/cc/mq-bench/artifacts/scale_20251205_034359_emqx_p1024_n2000_r10/fanout_multi_topic_perkey,99.460000,52.100000,524707430
mqtt_emqx,1024,30000,scale_20251205_034453_emqx_p1024_n3000_r10,0.00,0.000,0.000,0.000,27133.95,1004396,0,0,/home/cc/mq-bench/artifacts/scale_20251205_034453_emqx_p1024_n3000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_emqx,1024,40000,scale_20251205_034547_emqx_p1024_n4000_r10,0.00,0.000,0.000,0.000,35503.53,1384666,0,0,/home/cc/mq-bench/artifacts/scale_20251205_034547_emqx_p1024_n4000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_emqx,1024,50000,scale_20251205_034643_emqx_p1024_n5000_r10,0.00,0.000,0.000,0.000,36259.30,1486937,0,0,/home/cc/mq-bench/artifacts/scale_20251205_034643_emqx_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_hivemq,1024,100,scale_20251205_034748_hivemq_p1024_n10_r10,101.04,1.030,4.862,11.510,93.28,3265,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_034748_hivemq_p1024_n10_r10/fanout_multi_topic_perkey,54.190000,24.280000,244527923
mqtt_hivemq,1024,1000,scale_20251205_034839_hivemq_p1024_n100_r10,1003.01,0.389,1.569,6.595,931.17,32592,31585,0,/home/cc/mq-bench/artifacts/scale_20251205_034839_hivemq_p1024_n100_r10/fanout_multi_topic_perkey,72.980000,28.300000,285002957
mqtt_hivemq,1024,1000,scale_20251205_034931_hivemq_p1024_n100_r10,1002.97,0.413,1.288,5.370,931.26,32595,31586,0,/home/cc/mq-bench/artifacts/scale_20251205_034931_hivemq_p1024_n100_r10/fanout_multi_topic_perkey,45.360000,28.500000,286995251
mqtt_hivemq,1024,10000,scale_20251205_035022_hivemq_p1024_n1000_r10,12892.60,32.342,1055.392,1383.072,9191.74,330915,320801,0,/home/cc/mq-bench/artifacts/scale_20251205_035022_hivemq_p1024_n1000_r10/fanout_multi_topic_perkey,97.720000,44.100000,444176794
mqtt_hivemq,1024,20000,scale_20251205_035115_hivemq_p1024_n2000_r10,6559.52,1143.996,4009.755,5112.857,18158.38,671874,52621,0,/home/cc/mq-bench/artifacts/scale_20251205_035115_hivemq_p1024_n2000_r10/fanout_multi_topic_perkey,99.670000,54.660000,550502400
mqtt_hivemq,1024,30000,scale_20251205_035208_hivemq_p1024_n3000_r10,0.00,0.000,0.000,0.000,27128.70,1003871,0,0,/home/cc/mq-bench/artifacts/scale_20251205_035208_hivemq_p1024_n3000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_hivemq,1024,40000,scale_20251205_035303_hivemq_p1024_n4000_r10,0.00,0.000,0.000,0.000,31867.27,1210995,0,0,/home/cc/mq-bench/artifacts/scale_20251205_035303_hivemq_p1024_n4000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_hivemq,1024,50000,scale_20251205_035358_hivemq_p1024_n5000_r10,0.00,0.000,0.000,0.000,32690.85,1339545,0,0,/home/cc/mq-bench/artifacts/scale_20251205_035358_hivemq_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_rabbitmq,1024,100,scale_20251205_035504_rabbitmq_p1024_n10_r10,100.99,0.375,0.528,1.436,93.28,3265,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_035504_rabbitmq_p1024_n10_r10/fanout_multi_topic_perkey,4.140000,15.910000,160222413
mqtt_rabbitmq,1024,1000,scale_20251205_035555_rabbitmq_p1024_n100_r10,1002.62,0.299,0.687,1.811,931.37,32599,31590,0,/home/cc/mq-bench/artifacts/scale_20251205_035555_rabbitmq_p1024_n100_r10/fanout_multi_topic_perkey,31.790000,15.240000,153406669
mqtt_rabbitmq,1024,1000,scale_20251205_035647_rabbitmq_p1024_n100_r10,1001.44,0.278,0.680,1.757,931.42,32600,31594,0,/home/cc/mq-bench/artifacts/scale_20251205_035647_rabbitmq_p1024_n100_r10/fanout_multi_topic_perkey,27.070000,15.440000,155503821
mqtt_rabbitmq,1024,10000,scale_20251205_035738_rabbitmq_p1024_n1000_r10,10171.63,0.696,4.119,33.243,9196.17,331068,321001,0,/home/cc/mq-bench/artifacts/scale_20251205_035738_rabbitmq_p1024_n1000_r10/fanout_multi_topic_perkey,90.590000,28.970000,291713843
mqtt_rabbitmq,1024,20000,scale_20251205_035831_rabbitmq_p1024_n2000_r10,13756.18,142.213,2988.442,13958.644,18155.64,671770,406446,0,/home/cc/mq-bench/artifacts/scale_20251205_035831_rabbitmq_p1024_n2000_r10/fanout_multi_topic_perkey,100.900000,43.980000,442918502
mqtt_rabbitmq,1024,30000,scale_20251205_035924_rabbitmq_p1024_n3000_r10,12469.37,10.732,590.873,18572.378,26886.80,1021714,370983,0,/home/cc/mq-bench/artifacts/scale_20251205_035924_rabbitmq_p1024_n3000_r10/fanout_multi_topic_perkey,100.970000,43.950000,442603930
mqtt_rabbitmq,1024,40000,scale_20251205_040019_rabbitmq_p1024_n4000_r10,14612.75,20.382,9621.733,25652.363,35435.61,1382003,238259,0,/home/cc/mq-bench/artifacts/scale_20251205_040019_rabbitmq_p1024_n4000_r10/fanout_multi_topic_perkey,98.390000,60.370000,607964365
mqtt_rabbitmq,1024,50000,scale_20251205_040115_rabbitmq_p1024_n5000_r10,0.00,0.000,0.000,0.000,33513.30,1372019,0,0,/home/cc/mq-bench/artifacts/scale_20251205_040115_rabbitmq_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_artemis,1024,100,scale_20251205_040222_artemis_p1024_n10_r10,101.05,0.720,4.207,13.861,93.28,3265,3164,0,/home/cc/mq-bench/artifacts/scale_20251205_040222_artemis_p1024_n10_r10/fanout_multi_topic_perkey,71.960000,25.800000,259941990
mqtt_artemis,1024,1000,scale_20251205_040313_artemis_p1024_n100_r10,1001.93,0.268,0.745,2.685,931.25,32595,31588,0,/home/cc/mq-bench/artifacts/scale_20251205_040313_artemis_p1024_n100_r10/fanout_multi_topic_perkey,75.050000,31.810000,320444826
mqtt_artemis,1024,1000,scale_20251205_040404_artemis_p1024_n100_r10,1003.58,0.364,0.769,3.256,931.14,32590,31585,0,/home/cc/mq-bench/artifacts/scale_20251205_040404_artemis_p1024_n100_r10/fanout_multi_topic_perkey,40.690000,45.150000,454767411
mqtt_artemis,1024,10000,scale_20251205_040456_artemis_p1024_n1000_r10,11232.41,1.007,85.787,220.332,9190.38,330858,320809,0,/home/cc/mq-bench/artifacts/scale_20251205_040456_artemis_p1024_n1000_r10/fanout_multi_topic_perkey,97.360000,64.490000,649487974
mqtt_artemis,1024,20000,scale_20251205_040548_artemis_p1024_n2000_r10,4626.37,2.886,42.959,53.838,18172.69,672499,6434,0,/home/cc/mq-bench/artifacts/scale_20251205_040548_artemis_p1024_n2000_r10/fanout_multi_topic_perkey,92.630000,63.570000,640260506
mqtt_artemis,1024,30000,scale_20251205_040642_artemis_p1024_n3000_r10,0.00,0.000,0.000,0.000,27079.13,1002463,0,0,/home/cc/mq-bench/artifacts/scale_20251205_040642_artemis_p1024_n3000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_artemis,1024,40000,scale_20251205_040736_artemis_p1024_n4000_r10,0.00,0.000,0.000,0.000,35515.18,1385113,0,0,/home/cc/mq-bench/artifacts/scale_20251205_040736_artemis_p1024_n4000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
mqtt_artemis,1024,50000,scale_20251205_040832_artemis_p1024_n5000_r10,0.00,0.000,0.000,0.000,36666.83,1506494,0,0,/home/cc/mq-bench/artifacts/scale_20251205_040832_artemis_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0
